SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_0815,lung-P01LB294,lung-M234-P01LB294
SAMPLE_0816,lung-P01LB295,lung-M158-P01LB295
SAMPLE_0817,lung-P01LB300,lung-M63-P01LB300
SAMPLE_0818,lung-P01LB302,lung-M15-P01LB302
SAMPLE_0819,lung-P01LB303,lung-M2-P01LB303
SAMPLE_0820,lung-P01LB304,lung-M159-P01LB304
SAMPLE_0821,lung-P01LB306,lung-M16-P01LB306
SAMPLE_0822,lung-P01LB308,lung-M187-P01LB308
SAMPLE_0823,lung-P01LB309,lung-M81-P01LB309
SAMPLE_0824,lung-P01LB310,lung-M16-P01LB310
SAMPLE_0825,lung-P01LB311,lung-M1-P01LB311
SAMPLE_0826,lung-P01LB313,lung-M37-P01LB313
SAMPLE_0827,lung-P01LB315,lung-M245-P01LB315
SAMPLE_0828,lung-P01LB316,lung-M218-P01LB316
SAMPLE_0829,lung-P01LB317,lung-M245-P01LB317
SAMPLE_0830,lung-P01LB318,lung-M215-P01LB318
SAMPLE_0831,lung-P01LB320,lung-M190-P01LB320
SAMPLE_0832,lung-P01LB321,lung-M15-P01LB321
SAMPLE_0833,lung-P01LB323,lung-M240-P01LB323
SAMPLE_0834,lung-P01LB326,lung-M43-P01LB326
SAMPLE_0835,lung-P01LB328,lung-M21-P01LB328
SAMPLE_0836,lung-P01LB330,lung-M251-P01LB330
SAMPLE_0837,lung-P01LB331,lung-M218-P01LB331
SAMPLE_0838,lung-P01LB332,lung-M21-P01LB332
SAMPLE_0839,lung-P01LB337,lung-M240-P01LB337
SAMPLE_0840,lung-P01LB339,lung-M21-P01LB339
SAMPLE_0841,lung-P01LB340,lung-M14-P01LB340
SAMPLE_0842,lung-P01LB350,lung-M171-P01LB350
SAMPLE_0843,lung-P01LB354,lung-M240-P01LB354
SAMPLE_0844,lung-P01LB355,lung-M16-P01LB355
SAMPLE_0845,lung-P01LB356,lung-M199-P01LB356
SAMPLE_0846,lung-P01LB357,lung-M240-P01LB357
SAMPLE_0847,lung-P01LB360,lung-M32-P01LB360
SAMPLE_0848,lung-P01LB371,lung-M58-P01LB371
SAMPLE_0849,lung-P01LB373,lung-M240-P01LB373
SAMPLE_0850,lung-P01LB374,lung-M27-P01LB374
SAMPLE_0851,lung-P01LB384,lung-M205-P01LB384
SAMPLE_0852,lung-P01LB385,lung-M18-P01LB385
SAMPLE_0853,lung-P01LB386,lung-M172-P01LB386
SAMPLE_0854,lung-P01LB388,lung-M240-P01LB388
SAMPLE_0855,lung-P01LB389,lung-M171-P01LB389
SAMPLE_0856,lung-P01LB391,lung-M177-P01LB391
SAMPLE_0857,lung-P01LB392,lung-M241-P01LB392
SAMPLE_0858,lung-P01LB398,lung-M173-P01LB398
SAMPLE_0859,lung-P01LB403,lung-M237-P01LB403
SAMPLE_0860,lung-P01LB405,lung-M19-P01LB405
SAMPLE_0861,lung-P01LB409,lung-M28-P01LB409
SAMPLE_0862,lung-P01LB413,lung-M204-P01LB413
SAMPLE_0863,lung-P01LB414,lung-M203-P01LB414
SAMPLE_0864,lung-P01LB416,lung-M80-P01LB416
SAMPLE_0865,lung-P01LB420,lung-M245-P01LB420
SAMPLE_0866,lung-P01LB421,lung-M251-P01LB421
SAMPLE_0867,lung-P01LB423,lung-M240-P01LB423
SAMPLE_0868,lung-P01LB426,lung-M13-P01LB426
SAMPLE_0869,lung-P01LB429,lung-M37-P01LB429
SAMPLE_0870,lung-P01LB431,lung-M204-P01LB431
SAMPLE_0871,lung-P01LB432,lung-M241-P01LB432
SAMPLE_0872,lung-P01LB441,lung-M8-P01LB441
SAMPLE_0873,lung-P01LB446,lung-M22-P01LB446
SAMPLE_0874,lung-P01LB447,lung-M32-P01LB447
SAMPLE_0875,lung-P01LB448,lung-M17-P01LB448
SAMPLE_0876,lung-P01LB449,lung-M40-P01LB449
SAMPLE_0877,lung-P01LB450,lung-M7-P01LB450
SAMPLE_0878,lung-P01LB451,lung-M9-P01LB451
SAMPLE_0879,lung-P01LB452,lung-M202-P01LB452
SAMPLE_0880,lung-P01LB454,lung-M25-P01LB454
SAMPLE_0881,lung-P01LB455,lung-M32-P01LB455
SAMPLE_0882,lung-P01LB457,lung-M23-P01LB457
SAMPLE_0883,lung-P01LB458,lung-M32-P01LB458
SAMPLE_0884,lung-P01LB459,lung-M193-P01LB459
SAMPLE_0885,lung-P01LB462,lung-M215-P01LB462
SAMPLE_0886,lung-P01LB463,lung-M10-P01LB463
SAMPLE_0887,lung-P01LB464,lung-M240-P01LB464
SAMPLE_0888,lung-P01LB466,lung-M32-P01LB466
SAMPLE_0889,lung-P01LB475,lung-M34-P01LB475
SAMPLE_0890,lung-P01LB480,lung-M31-P01LB480
SAMPLE_0891,lung-P01LB481,lung-M191-P01LB481
SAMPLE_0892,lung-P01LB482,lung-M241-P01LB482
SAMPLE_0893,lung-P01LB483,lung-M5-P01LB483
SAMPLE_0894,lung-P01LB484,lung-M241-P01LB484
SAMPLE_0895,lung-P01LB485,lung-M42-P01LB485
SAMPLE_0896,lung-P01LB488,lung-M214-P01LB488
SAMPLE_0897,lung-P01LB489,lung-M251-P01LB489
SAMPLE_0898,lung-P01LB490,lung-M236-P01LB490
SAMPLE_0899,lung-P01LB492,lung-M24-P01LB492
SAMPLE_0900,lung-P01LB493,lung-M241-P01LB493
SAMPLE_0901,lung-P01LB494,lung-M212-P01LB494
SAMPLE_0902,lung-P01LB496,lung-M241-P01LB496
SAMPLE_0903,lung-P01LB497,lung-M10-P01LB497
SAMPLE_0904,lung-P01LB498,lung-M45-P01LB498
SAMPLE_0905,lung-P01LB501,lung-M28-P01LB501
SAMPLE_0906,lung-P01LB502,lung-M191-P01LB502
SAMPLE_0907,lung-P01LB503,lung-M36-P01LB503
SAMPLE_0908,lung-P01LB504,lung-M42-P01LB504
SAMPLE_0909,lung-P01LB505,lung-M218-P01LB505
SAMPLE_0910,lung-P01LB509,lung-M46-P01LB509
SAMPLE_0911,lung-P01LB511,lung-M206-P01LB511
SAMPLE_0912,lung-P01LB515,lung-M245-P01LB515
SAMPLE_0913,lung-P01LB519,lung-M252-P01LB519
SAMPLE_0914,lung-P01LB523,lung-M33-P01LB523
SAMPLE_0915,lung-P01LB524,lung-M205-P01LB524
SAMPLE_0916,lung-P01LB525,lung-M18-P01LB525
SAMPLE_0917,lung-P01LB527,lung-M164-P01LB527
SAMPLE_0918,lung-P01LB533,lung-M40-P01LB533
SAMPLE_0919,lung-P01LB534,lung-M28-P01LB534
SAMPLE_0920,lung-P01LB536,lung-M33-P01LB536
SAMPLE_0921,lung-P01LB537,lung-M241-P01LB537
SAMPLE_0922,lung-P01LB538,lung-M233-P01LB538
SAMPLE_0923,lung-P01LB551,lung-M40-P01LB551
SAMPLE_0924,lung-P01LB553,lung-M171-P01LB553
SAMPLE_0925,lung-P01LB555,lung-M37-P01LB555
SAMPLE_0926,lung-P01LB557,lung-M174-P01LB557
SAMPLE_0927,lung-P01LB559,lung-M209-P01LB559
SAMPLE_0928,lung-P01LB560,lung-M169-P01LB560
SAMPLE_0929,lung-P01LB561,lung-M205-P01LB561
SAMPLE_0930,lung-P01LB563,lung-M41-P01LB563
SAMPLE_0931,lung-P01LB566,lung-M173-P01LB566
SAMPLE_0932,lung-P01LB567,lung-M241-P01LB567
SAMPLE_0933,lung-P01LB569,lung-M183-P01LB569
SAMPLE_0934,lung-P01LB575,lung-M252-P01LB575
SAMPLE_0935,lung-P01LB576,lung-M33-P01LB576
SAMPLE_0936,lung-P01LB577,lung-M199-P01LB577
SAMPLE_0937,lung-P01LB579,lung-M30-P01LB579
SAMPLE_0938,lung-P01LB582,lung-M184-P01LB582
SAMPLE_0939,lung-P01LB583,lung-M30-P01LB583
SAMPLE_0940,lung-P01LB584,lung-M34-P01LB584
SAMPLE_0941,lung-P01LB585,lung-M11-P01LB585
SAMPLE_0942,lung-P01LB586,lung-M200-P01LB586
SAMPLE_0943,lung-P01LB588,lung-M200-P01LB588
SAMPLE_0944,lung-P01LB591,lung-M200-P01LB591
SAMPLE_0945,lung-P01LB593,lung-M33-P01LB593
SAMPLE_0946,lung-P01LB594,lung-M202-P01LB594
SAMPLE_0947,lung-P01LB595,lung-M220-P01LB595
SAMPLE_0948,lung-P01LB598,lung-M10-P01LB598
SAMPLE_0949,lung-P01LB601,lung-M13-P01LB601
SAMPLE_0950,lung-P01LB605,lung-M27-P01LB605
SAMPLE_0951,lung-P01LB607,lung-M213-P01LB607
SAMPLE_0952,lung-P01LB608,lung-M213-P01LB608
SAMPLE_0953,lung-P01LB609,lung-M35-P01LB609
SAMPLE_0954,lung-P01LB612,lung-M241-P01LB612
SAMPLE_0955,lung-P01LB613,lung-M41-P01LB613
SAMPLE_0956,lung-P01LB615,lung-M41-P01LB615
SAMPLE_0957,lung-P01LB616,lung-M192-P01LB616
SAMPLE_0958,lung-P01LB617,lung-M228-P01LB617
SAMPLE_0959,lung-P01LB618,lung-M34-P01LB618
SAMPLE_0960,lung-P01LB619,lung-M160-P01LB619
SAMPLE_0961,lung-P01LB621,lung-M12-P01LB621
SAMPLE_0962,lung-P01LB623,lung-M44-P01LB623
SAMPLE_0963,lung-P01LB625,lung-M185-P01LB625
SAMPLE_0964,lung-P01LB626,lung-M242-P01LB626
SAMPLE_0965,lung-P01LB627,lung-M215-P01LB627
SAMPLE_0966,lung-P01LB628,lung-M225-P01LB628
SAMPLE_0967,lung-P01LB632,lung-M241-P01LB632
SAMPLE_0968,lung-P01LB633,lung-M177-P01LB633
SAMPLE_0969,lung-P01LB636,lung-M11-P01LB636
SAMPLE_0970,lung-P01LB637,lung-M193-P01LB637
SAMPLE_0971,lung-P01LB640,lung-M43-P01LB640
SAMPLE_0972,lung-P01LB642,lung-M242-P01LB642
SAMPLE_0973,lung-P01LB643,lung-M195-P01LB643
SAMPLE_0974,lung-P01LB645,lung-M204-P01LB645
SAMPLE_0975,lung-P01LB646,lung-M245-P01LB646
SAMPLE_0976,lung-P01LB648,lung-M35-P01LB648
SAMPLE_0977,lung-P01LB651,lung-M242-P01LB651
SAMPLE_0978,lung-P01LB656,lung-M209-P01LB656
SAMPLE_0979,lung-P01LB658,lung-M164-P01LB658
SAMPLE_0980,lung-P01LB660,lung-M204-P01LB660
SAMPLE_0981,lung-P01LB662,lung-M176-P01LB662
SAMPLE_0982,lung-P01LB663,lung-M198-P01LB663
SAMPLE_0983,lung-P01LB664,lung-M245-P01LB664
SAMPLE_0984,lung-P01LB666,lung-M178-P01LB666
SAMPLE_0985,lung-P01LB667,lung-M188-P01LB667
SAMPLE_0986,lung-P01LB670,lung-M188-P01LB670
SAMPLE_0987,lung-P01LB672,lung-M225-P01LB672
SAMPLE_0988,lung-P01LB673,lung-M141-P01LB673
SAMPLE_0989,lung-P01LB677,lung-M245-P01LB677
SAMPLE_0990,lung-P01LB679,lung-M227-P01LB679
SAMPLE_0991,lung-P01LB686,lung-M206-P01LB686
SAMPLE_0992,lung-P01LB689,lung-M225-P01LB689
SAMPLE_0993,lung-P01LB691,lung-M197-P01LB691
SAMPLE_0994,lung-P01LB695,lung-M242-P01LB695
SAMPLE_0995,lung-P01LB696,lung-M188-P01LB696
SAMPLE_0996,lung-P01LB697,lung-M227-P01LB697
SAMPLE_0997,lung-P01LB698,lung-M245-P01LB698
SAMPLE_0998,lung-P01LB699,lung-M246-P01LB699
SAMPLE_0999,lung-P01LB702,lung-M4-P01LB702
SAMPLE_1000,lung-P01LB703,lung-M202-P01LB703
SAMPLE_1001,lung-P01LB704,lung-M232-P01LB704
SAMPLE_1002,lung-P01LB705,lung-M181-P01LB705
SAMPLE_1003,lung-P01LB706,lung-M173-P01LB706
SAMPLE_1004,lung-P01LB707,lung-M181-P01LB707
SAMPLE_1005,lung-P01LB708,lung-M204-P01LB708
SAMPLE_1006,lung-P01LB714,lung-M218-P01LB714
SAMPLE_1007,lung-P01LB716,lung-M246-P01LB716
SAMPLE_1008,lung-P01LB720,lung-M226-P01LB720
SAMPLE_1009,lung-P01LB722,lung-M226-P01LB722
SAMPLE_1010,lung-P01LB726,lung-M229-P01LB726
SAMPLE_1011,lung-P01LB728,lung-M212-P01LB728
SAMPLE_1012,lung-P01LB729,lung-M207-P01LB729
SAMPLE_1013,lung-P01LB730,lung-M224-P01LB730
SAMPLE_1014,lung-P01LB735,lung-M99-P01LB735
SAMPLE_1015,lung-P01LB736,lung-M237-P01LB736
SAMPLE_1016,lung-P01LB737,lung-M186-P01LB737
SAMPLE_1017,lung-P01LB738,lung-M228-P01LB738
SAMPLE_1018,lung-P01LB740,lung-M221-P01LB740
SAMPLE_1019,lung-P01LB741,lung-M197-P01LB741
SAMPLE_1020,lung-P01LB742,lung-M36-P01LB742
SAMPLE_1021,lung-P01LB743,lung-M37-P01LB743
SAMPLE_1022,lung-P01LB747,lung-M246-P01LB747
SAMPLE_1023,lung-P01LB755,lung-M242-P01LB755
SAMPLE_1024,lung-P01LB756,lung-M183-P01LB756
SAMPLE_1025,lung-P01LB757,lung-M189-P01LB757
SAMPLE_1026,lung-P01LB760,lung-M35-P01LB760
SAMPLE_1027,lung-P01LB761,lung-M174-P01LB761
SAMPLE_1028,lung-P01LB762,lung-M43-P01LB762
SAMPLE_1029,lung-P01LB764,lung-M177-P01LB764
SAMPLE_1030,lung-P01LB769,lung-M172-P01LB769
SAMPLE_1031,lung-P01LB771,lung-M42-P01LB771
SAMPLE_1032,lung-P01LB772,lung-M139-P01LB772
SAMPLE_1033,lung-P01LB773,lung-M183-P01LB773
SAMPLE_1034,lung-P01LB775,lung-M172-P01LB775
SAMPLE_1035,lung-P01LB778,lung-M209-P01LB778
SAMPLE_1036,lung-P01LB779,lung-M34-P01LB779
SAMPLE_1037,lung-P01LB780,lung-M172-P01LB780
SAMPLE_1038,lung-P01LB783,lung-M242-P01LB783
SAMPLE_1039,lung-P01LB785,lung-M35-P01LB785
SAMPLE_1040,lung-P01LB787,lung-M190-P01LB787
SAMPLE_1041,lung-P01LB790,lung-M242-P01LB790
SAMPLE_1042,lung-P01LB796,lung-M242-P01LB796
SAMPLE_1043,lung-P01LB802,lung-M9-P01LB802
SAMPLE_1044,lung-P01LB804,lung-M222-P01LB804
SAMPLE_1045,lung-P01LB805,lung-M176-P01LB805
SAMPLE_1046,lung-P01LB806,lung-M242-P01LB806
SAMPLE_1047,lung-P01LB808,lung-M190-P01LB808
SAMPLE_1048,lung-P01LB811,lung-M177-P01LB811
SAMPLE_1049,lung-P01LB812,lung-M242-P01LB812
SAMPLE_1050,lung-P01LB813,lung-M35-P01LB813
SAMPLE_1051,lung-P01LB814,lung-M35-P01LB814
SAMPLE_1052,lung-P01LB815,lung-M43-P01LB815
SAMPLE_1053,lung-P01LB817,lung-M34-P01LB817
SAMPLE_1054,lung-P01LB818,lung-M34-P01LB818
SAMPLE_1055,lung-P01LB820,lung-M205-P01LB820
SAMPLE_1056,lung-P01LB821,lung-M246-P01LB821
SAMPLE_1057,lung-P01LB826,lung-M43-P01LB826
SAMPLE_1058,lung-P01LB827,lung-M243-P01LB827
SAMPLE_1059,lung-P01LB828,lung-M35-P01LB828
SAMPLE_1060,lung-P01LB829,lung-M172-P01LB829
SAMPLE_1061,lung-P01LB832,lung-M11-P01LB832
SAMPLE_1062,lung-P01LB834,lung-M243-P01LB834
SAMPLE_1063,lung-P01LB835,lung-M38-P01LB835
SAMPLE_1064,lung-P01LB839,lung-M222-P01LB839
SAMPLE_1065,lung-P01LB841,lung-M158-P01LB841
SAMPLE_1066,lung-P01LB843,lung-M42-P01LB843
SAMPLE_1067,lung-P01LB845,lung-M38-P01LB845
SAMPLE_1068,lung-P01LB849,lung-M42-P01LB849
SAMPLE_1069,lung-P01LB853,lung-M222-P01LB853
SAMPLE_1070,lung-P01LB859,lung-M30-P01LB859
SAMPLE_1071,lung-P01LB860,lung-M29-P01LB860
SAMPLE_1072,lung-P01LB863,lung-M243-P01LB863
SAMPLE_1073,lung-P01LB868,lung-M30-P01LB868
SAMPLE_1074,lung-P01LB869,lung-M227-P01LB869
SAMPLE_1075,lung-P01LB870,lung-M30-P01LB870
SAMPLE_1076,lung-P01LB871,lung-M230-P01LB871
SAMPLE_1077,lung-P01LB872,lung-M246-P01LB872
SAMPLE_1078,lung-P01LB875,lung-M246-P01LB875
SAMPLE_1079,lung-P01LB877,lung-M174-P01LB877
SAMPLE_1080,lung-P01LB878,lung-M185-P01LB878
SAMPLE_1081,lung-P01LB880,lung-M215-P01LB880
SAMPLE_1082,lung-P01LB881,lung-M219-P01LB881
SAMPLE_1083,lung-P01LB882,lung-M31-P01LB882
SAMPLE_1084,lung-P01LB884,lung-M209-P01LB884
SAMPLE_1085,lung-P01LB886,lung-M197-P01LB886
SAMPLE_1086,lung-P01LB888,lung-M174-P01LB888
SAMPLE_1087,lung-P01LB889,lung-M6-P01LB889
SAMPLE_1088,lung-P01LB890,lung-M9-P01LB890
SAMPLE_1089,lung-P01LB891,lung-M8-P01LB891
SAMPLE_1090,lung-P01LB892,lung-M40-P01LB892
SAMPLE_1091,lung-P01LB895,lung-M7-P01LB895
SAMPLE_1092,lung-P01LB896,lung-M176-P01LB896
SAMPLE_1093,lung-P01LB898,lung-M228-P01LB898
SAMPLE_1094,lung-P01LB899,lung-M204-P01LB899
SAMPLE_1095,lung-P01LB901,lung-M204-P01LB901
SAMPLE_1096,lung-P01LB902,lung-M207-P01LB902
SAMPLE_1097,lung-P01LB903,lung-M246-P01LB903
SAMPLE_1098,lung-P01LB904,lung-M177-P01LB904
SAMPLE_1099,lung-P01LB910,lung-M189-P01LB910
SAMPLE_1100,lung-P01LB911,lung-M187-P01LB911
SAMPLE_1101,lung-P01LB912,lung-M243-P01LB912
SAMPLE_1102,lung-P01LB913,lung-M4-P01LB913
SAMPLE_1103,lung-P01LB915,lung-M111-P01LB915
SAMPLE_1104,lung-P01LB916,lung-M252-P01LB916
SAMPLE_1105,lung-P01LB917,lung-M203-P01LB917
SAMPLE_1106,lung-P01LB918,lung-M234-P01LB918
SAMPLE_1107,lung-P01LB919,lung-M183-P01LB919
SAMPLE_1108,lung-P01LB921,lung-M215-P01LB921
SAMPLE_1109,lung-P01LB922,lung-M229-P01LB922
SAMPLE_1110,lung-P01LB924,lung-M246-P01LB924
SAMPLE_1111,lung-P01LB925,lung-M214-P01LB925
SAMPLE_1112,lung-P01LB928,lung-M13-P01LB928
SAMPLE_1113,lung-P01LB929,lung-M203-P01LB929
SAMPLE_1114,lung-P01LB931,lung-M44-P01LB931
SAMPLE_1115,lung-P01LB932,lung-M24-P01LB932
SAMPLE_1116,lung-P01LB933,lung-M176-P01LB933
SAMPLE_1117,lung-P01LB936,lung-M176-P01LB936
SAMPLE_1118,lung-P01LB937,lung-M203-P01LB937
SAMPLE_1119,lung-P01LB944,lung-M45-P01LB944
SAMPLE_1120,lung-P01LB946,lung-M21-P01LB946
SAMPLE_1121,lung-P01LB948,lung-M11-P01LB948
SAMPLE_1122,lung-P01LB949,lung-M39-P01LB949
SAMPLE_1123,lung-P01LB951,lung-M191-P01LB951
SAMPLE_1124,lung-P01LB952,lung-M247-P01LB952
SAMPLE_1125,lung-P01LB953,lung-M219-P01LB953
SAMPLE_1126,lung-P01LB955,lung-M191-P01LB955
SAMPLE_1127,lung-P01LB957,lung-M218-P01LB957
SAMPLE_1128,lung-P01LB961,lung-M184-P01LB961
SAMPLE_1129,lung-P01LB964,lung-M13-P01LB964
SAMPLE_1130,lung-P01LB965,lung-M32-P01LB965
SAMPLE_1131,lung-P01LB967,lung-M185-P01LB967
SAMPLE_1132,lung-P01LB968,lung-M197-P01LB968
SAMPLE_1133,lung-P01LB970,lung-M214-P01LB970
SAMPLE_1134,lung-P01LB972,lung-M197-P01LB972
SAMPLE_1135,lung-P01LB973,lung-M236-P01LB973
SAMPLE_1136,lung-P01LB974,lung-M203-P01LB974
SAMPLE_1137,lung-P01LB975,lung-M252-P01LB975
SAMPLE_1138,lung-P01LB978,lung-M197-P01LB978
SAMPLE_1139,lung-P01LB979,lung-M13-P01LB979
SAMPLE_1140,lung-P01LB980,lung-M32-P01LB980
SAMPLE_1141,lung-P01LB983,lung-M243-P01LB983
SAMPLE_1142,lung-P01LB984,lung-M196-P01LB984
SAMPLE_1143,lung-P01LB986,lung-M18-P01LB986
SAMPLE_1144,lung-P01LB987,lung-M247-P01LB987
SAMPLE_1145,lung-P01LB988,lung-M208-P01LB988
SAMPLE_1146,lung-P01LB989,lung-M39-P01LB989
SAMPLE_1147,lung-P01LB991,lung-M247-P01LB991
SAMPLE_1148,lung-P01LB992,lung-M142-P01LB992
SAMPLE_1149,lung-P01LB994,lung-M197-P01LB994
SAMPLE_1150,lung-P01LB995,lung-M178-P01LB995
SAMPLE_1151,lung-P01LB996,lung-M32-P01LB996
SAMPLE_1152,lung-P01LB999,lung-M243-P01LB999
SAMPLE_1153,lung-P01LC002,lung-M187-P01LC002
SAMPLE_1154,lung-P01LC003,lung-M39-P01LC003
SAMPLE_1155,lung-P01LC004,lung-M14-P01LC004
SAMPLE_1156,lung-P01LC005,lung-M197-P01LC005
SAMPLE_1157,lung-P01LC007,lung-M31-P01LC007
SAMPLE_1158,lung-P01LC008,lung-M195-P01LC008
SAMPLE_1159,lung-P01LC009,lung-M190-P01LC009
SAMPLE_1160,lung-P01LC010,lung-M243-P01LC010
SAMPLE_1161,lung-P01LC011,lung-M10-P01LC011
SAMPLE_1162,lung-P01LC012,lung-M24-P01LC012
SAMPLE_1163,lung-P01LC013,lung-M243-P01LC013
SAMPLE_1164,lung-P01LC015,lung-M8-P01LC015
SAMPLE_1165,lung-P01LC019,lung-M5-P01LC019
SAMPLE_1166,lung-P01LC021,lung-M225-P01LC021
SAMPLE_1167,lung-P01LC022,lung-M11-P01LC022
SAMPLE_1168,lung-P01LC024,lung-M31-P01LC024
SAMPLE_1169,lung-P01LC025,lung-M46-P01LC025
SAMPLE_1170,lung-P01LC026,lung-M194-P01LC026
SAMPLE_1171,lung-P01LC027,lung-M70-P01LC027
SAMPLE_1172,lung-P01LC029,lung-M225-P01LC029
SAMPLE_1173,lung-P01LC030,lung-M4-P01LC030
SAMPLE_1174,lung-P01LC031,lung-M44-P01LC031
SAMPLE_1175,lung-P01LC032,lung-M45-P01LC032
SAMPLE_1176,lung-P01LC033,lung-M206-P01LC033
SAMPLE_1177,lung-P01LC034,lung-M224-P01LC034
SAMPLE_1178,lung-P01LC035,lung-M218-P01LC035
SAMPLE_1179,lung-P01LC037,lung-M28-P01LC037
SAMPLE_1180,lung-P01LC038,lung-M22-P01LC038
SAMPLE_1181,lung-P01LC039,lung-M14-P01LC039
SAMPLE_1182,lung-P01LC043,lung-M26-P01LC043
SAMPLE_1183,lung-P01LC045,lung-M213-P01LC045
SAMPLE_1184,lung-P01LC046,lung-M23-P01LC046
SAMPLE_1185,lung-P01LC047,lung-M247-P01LC047
SAMPLE_1186,lung-P01LC049,lung-M43-P01LC049
SAMPLE_1187,lung-P01LC051,lung-M213-P01LC051
SAMPLE_1188,lung-P01LC052,lung-M178-P01LC052
SAMPLE_1189,lung-P01LC054,lung-M185-P01LC054
SAMPLE_1190,lung-P01LC056,lung-M176-P01LC056
SAMPLE_1191,lung-P01LC057,lung-M4-P01LC057
SAMPLE_1192,lung-P01LC058,lung-M243-P01LC058
SAMPLE_1193,lung-P01LC068,lung-M226-P01LC068
SAMPLE_1194,lung-P01LC073,lung-M97-P01LC073
SAMPLE_1195,lung-P01LC085,lung-M189-P01LC085
SAMPLE_1196,lung-P01LC091,lung-M96-P01LC091
SAMPLE_1197,lung-P01LC103,lung-M97-P01LC103
SAMPLE_1198,lung-P01LC108,lung-M189-P01LC108
SAMPLE_1199,lung-P01LC114,lung-M130-P01LC114
SAMPLE_1200,lung-P01LC130,lung-M227-P01LC130
SAMPLE_1201,lung-P01LC134,lung-M253-P01LC134
SAMPLE_1202,lung-P01LC135,lung-M180-P01LC135
SAMPLE_1203,lung-P01LC144,lung-M180-P01LC144
SAMPLE_1204,lung-P01LC160,lung-M87-P01LC160
SAMPLE_1205,lung-P01LC168,lung-M188-P01LC168
SAMPLE_1206,lung-P01LC172,lung-M179-P01LC172
SAMPLE_1207,lung-P01LC173,lung-M186-P01LC173
SAMPLE_1208,lung-P01LC179,lung-M184-P01LC179
SAMPLE_1209,lung-P01LC182,lung-M180-P01LC182
SAMPLE_1210,lung-P01LC184,lung-M247-P01LC184
SAMPLE_1211,lung-P01LC185,lung-M93-P01LC185
SAMPLE_1212,lung-P01LC186,lung-M99-P01LC186
SAMPLE_1213,lung-P01LC192,lung-M97-P01LC192
SAMPLE_1214,lung-P01LC197,lung-M247-P01LC197
SAMPLE_1215,lung-P01LC200,lung-M186-P01LC200
SAMPLE_1216,lung-P01LC205,lung-M179-P01LC205
SAMPLE_1217,lung-P01LC209,lung-M139-P01LC209
SAMPLE_1218,lung-P01LC210,lung-M180-P01LC210
SAMPLE_1219,lung-P01LC212,lung-M229-P01LC212
